active_physical_qubits,amplification_factor,decomposed_2q,decomposed_depth,grover_power,isa_2q,isa_depth,isa_size,isa_swap_count,logical_2q,logical_depth,p_ideal,within_2q_limit,within_depth_limit
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",1,124,213,0,49,52,93,0,59,64,0.13287309429489258,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",3,702,1226,1,462,653,937,0,637,1077,0.8096661708552149,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",5,1280,2239,2,875,1254,1781,0,1215,2090,0.9155941944246487,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",7,1858,3252,3,1288,1855,2625,0,1793,3103,0.2553804041571792,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,2436,4265,4,1701,2456,3469,0,2371,4116,0.046119258015454856,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",11,3014,5278,5,2114,3057,4313,0,2949,5129,0.6735806156882055,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",13,3592,6291,6,2527,3658,5157,0,3527,6142,0.981048649261876,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",15,4170,7304,7,2940,4259,6001,0,4105,7155,0.40171053964708797,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",17,4748,8317,8,3353,4860,6845,0,4683,8168,0.0035676114042561668,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",19,5326,9330,9,3766,5461,7689,0,5261,9181,0.5205905246207579,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",21,5904,10343,10,4179,6062,8533,0,5839,10194,0.9996551071090823,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",23,6482,11356,11,4592,6663,9377,0,6417,11207,0.5576128137343181,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",25,7060,12369,12,5005,7264,10221,0,6995,12220,0.009362141593221447,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",27,7638,13382,13,5418,7865,11065,0,7573,13233,0.36559517933017127,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",29,8216,14395,14,5831,8466,11909,0,8151,14246,0.9696015365167254,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",31,8794,15408,15,6244,9067,12753,0,8729,15259,0.7079043352946929,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",33,9372,16421,16,6657,9668,13597,0,9307,16272,0.0629385353195254,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",35,9950,17434,17,7070,10269,14441,0,9885,17285,0.22368914765441344,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",37,10528,18447,18,7483,10870,15285,0,10463,18298,0.8938147715728102,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",39,11106,19460,19,7896,11471,16129,0,11041,19311,0.8379486288688376,True,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8]",41,11684,20473,20,8309,12072,16973,0,11619,20324,0.1590791358329206,True,True
