algorithm_key,algorithm,target_query_budget,query_budget_actual_median,normalized_abs_error_median,normalized_abs_error_median_ci_low,normalized_abs_error_median_ci_high,n_runs
bae,BAE,300.0,200.0,0.03209985994993865,0.024514550130295153,0.04340361888857855,100
bae,BAE,600.0,320.0,0.0190394242904776,0.01451243428191165,0.02310105355329215,100
bae,BAE,1000.0,580.0,0.01011215174200825,0.007821047888536301,0.0125601490596811,100
bae,BAE,1500.0,900.0,0.00658597074639075,0.0048757630154072,0.009933120805278708,100
bae,BAE,2500.0,1640.0,0.0030429498053202502,0.0023768745857905,0.0043788539066214,100
bae,BAE,4000.0,3000.0,0.00151734719923545,0.0011620397010596,0.00199765698432755,100
bae,BAE,8000.0,7060.0,0.0009594087297605501,0.00082186602337225,0.0011311921093264,100
bae,BAE,12000.0,10710.0,0.0006861834876693499,0.0005573511971571913,0.0009322772797394001,100
bae,BAE,20000.0,15640.0,0.0004476453444495,0.00036188975222687,0.0005657182356077,100
bae,BAE,40000.0,37160.0,0.000161063788141,0.0001251688515408,0.00021165746294789467,100
bae,BAE,60000.0,44680.0,0.00011838584904555,9.308139711286295e-05,0.0001455774097384,100
biqae,BIQAE,300.0,270.0,0.022434160161200298,0.0194962940487847,0.0294079091008092,100
biqae,BIQAE,600.0,520.0,0.00835109464560145,0.00661142125520665,0.011122863298832808,100
biqae,BIQAE,1000.0,850.0,0.0051920902325149,0.0044070495972743,0.0064198175497899,100
biqae,BIQAE,1500.0,1275.0,0.0039001745839516,0.00292708516923,0.00464673315833275,100
biqae,BIQAE,2500.0,2080.0,0.0021238382322481,0.00171508815206645,0.0024949174459716,100
biqae,BIQAE,4000.0,3315.0,0.0015844433254787,0.0011392246746904,0.0018896740082003,100
biqae,BIQAE,8000.0,6705.0,0.0005550063934253,0.00046044161814270626,0.0006292736114732,100
biqae,BIQAE,12000.0,10130.0,0.0004866278849432,0.0004065484724962,0.0005660184478678878,100
biqae,BIQAE,20000.0,16375.0,0.0002299091211008,0.000173121715082735,0.0002802651199141,100
biqae,BIQAE,40000.0,33020.0,0.0001218835179862,0.0001059382611977,0.000147828240104,100
biqae,BIQAE,60000.0,38830.0,0.00010705728472295,8.345316970605604e-05,0.00012839568694105,100
cabiqae_latentt,CABIQAE,300.0,265.0,0.02121779333665835,0.015443279777515716,0.02458642650121935,100
cabiqae_latentt,CABIQAE,600.0,520.0,0.0087602827687835,0.0060614955829512,0.010914601510892848,100
cabiqae_latentt,CABIQAE,1000.0,815.0,0.0067774683944724495,0.00568031660062405,0.0074564336542351,100
cabiqae_latentt,CABIQAE,1500.0,1185.0,0.00368486745791615,0.0027659890629517,0.0054039669283761,100
cabiqae_latentt,CABIQAE,2500.0,2035.0,0.00171984252146285,0.0014174072396707501,0.00272448591385175,100
cabiqae_latentt,CABIQAE,4000.0,3385.0,0.0015440578488917,0.00124027618947855,0.0017550324893221211,100
cabiqae_latentt,CABIQAE,8000.0,6285.0,0.0007769616250858,0.0006540787324904675,0.0009451201305593,100
cabiqae_latentt,CABIQAE,12000.0,9865.0,0.00047830781537039997,0.000331913671679,0.0005619550135796,100
cabiqae_latentt,CABIQAE,20000.0,15780.0,0.00028350756052555003,0.00022548824322315,0.00035611236312940004,100
cabiqae_latentt,CABIQAE,40000.0,32215.0,0.00013900279143940001,0.00010421132277187377,0.0001853865828441,100
cabiqae_latentt,CABIQAE,60000.0,48210.0,9.20426163001301e-05,7.018488756730912e-05,0.0001160144930945,100
classical_mc,DCS,300.0,300.0,0.0362293679102469,0.02662729274922015,0.04460303041589435,100
classical_mc,DCS,600.0,600.0,0.0224071983145644,0.016345314549576,0.0300442770600126,100
classical_mc,DCS,1000.0,1000.0,0.01520301823018955,0.0114688424184764,0.022966486384479,100
classical_mc,DCS,1500.0,1500.0,0.0122293999826017,0.0091384040433122,0.016782929810960273,100
classical_mc,DCS,2500.0,2500.0,0.011313579678281348,0.0078153266422586,0.01315592605155415,100
classical_mc,DCS,4000.0,4000.0,0.009468653092799501,0.00782869463677945,0.0108667314913711,100
classical_mc,DCS,8000.0,8000.0,0.00622207062820665,0.00499664635997025,0.007720229898160337,100
classical_mc,DCS,12000.0,12000.0,0.00491524247227235,0.004014370425031003,0.00643267892413485,100
classical_mc,DCS,20000.0,20000.0,0.0042214422389423,0.003287163928614,0.004972395353742747,100
classical_mc,DCS,40000.0,39900.0,0.00189844756777065,0.0015752575286785,0.0025805322444951,100
classical_mc,DCS,60000.0,60000.0,0.0016939375283479001,0.00135021906048805,0.0022860131409155487,100
