amplification_factor,contrast_mitigated,contrast_mitigated_se,fit_exclusion_reason,grover_power,p_hw_mitigated,p_hw_mitigated_se,p_hw_raw,p_hw_raw_se,p_ideal,shots,signal_z_from_half,used_in_fit
1,0.9590839579264885,0.03115903078537371,ideal_probability_too_close_to_half,0,0.36598988910632746,0.00435376396026357,0.3658854166666667,0.00434526051502868,0.3602728053304129,12288,30.780288531204565,False
3,0.9331141637734442,0.008609329825384291,,1,0.8504158512720157,0.003233093823636426,0.849365234375,0.003226779187262136,0.875533739467591,12288,108.38406504327334,True
5,0.8977848391048237,0.004240586710967069,,2,0.05646607958251794,0.0020949830815375314,0.056966145833333336,0.0020908913177064034,0.0059685783291602915,12288,211.71241158280267,True
7,0.8366530026385387,0.006358245169610932,,3,0.8833577951728636,0.0029133736945944236,0.8822428385416666,0.002907683511597169,0.9582040510986927,12288,131.58552089769987,True
9,0.8104500537311797,0.014432853280199326,,4,0.2736872146118721,0.004030278253301847,0.2737630208333333,0.004022406616088367,0.2207566532370246,12288,56.153141585874074,True
11,0.983879964613215,0.3461285825041223,ideal_probability_too_close_to_half,5,0.5128424657534246,0.004517974373874039,0.512451171875,0.004509150205175066,0.5130528786186568,12288,2.842527356438404,False
13,0.7651010720498145,0.01616350139660958,,6,0.6967954990215264,0.0041574955773605515,0.696044921875,0.004149375468811019,0.7572150349943744,12288,47.33510724417053,True
15,0.7328140363798016,0.007639341968551624,,7,0.17233365949119372,0.0034158123377338256,0.172607421875,0.003409140829261689,0.05286563269513587,12288,95.92632970176344,True
17,0.6909189116077994,0.006617938635879302,,8,0.8436480756686237,0.003291619087138164,0.8426106770833334,0.003285190143608597,0.9973783028589261,12288,104.40092446037005,True
19,0.6601082364269726,0.009858314418304016,,9,0.24107142857142858,0.0038669404927316638,0.2412109375,0.0038593878745817973,0.10774830983764506,12288,66.95954383452651,True
21,0.6100825415470544,0.026904621668040096,,10,0.6004158512720157,0.004428336010233776,0.599853515625,0.0044196869164637885,0.6645938777683754,12288,22.675752481283514,True
23,0.6029297060735777,0.03910508826179232,ideal_probability_too_close_to_half,11,0.5690231572080887,0.00447673522724138,0.5685221354166666,0.004467991603750675,0.6144796093355294,12288,15.418190646629249,False
25,0.5650687140299496,0.011552930466539664,,12,0.29782289628180036,0.004133546882333571,0.2978515625,0.004125473548579013,0.1422079320649065,12288,48.91128841003049,True
27,0.5506363251650612,0.007790427420926619,,13,0.7694471624266145,0.003812150536980879,0.7685546875,0.0038047049304633382,0.9893377899575437,12288,70.68114436005705,True
29,0.5154311996925566,0.008459175423056233,,14,0.25876549249836917,0.003959102627602035,0.2588704427083333,0.0039513700052825,0.03197534870702056,12288,60.93161258811386,True
31,0.4993949322564374,0.014351820725417868,,15,0.650073385518591,0.004312871808465525,0.6494140625,0.004304448230714616,0.8005104293720162,12288,34.79662558576845,True
33,0.6554744506030469,0.11536114552612349,ideal_probability_too_close_to_half,16,0.47435583822570127,0.004513280228723804,0.4740397135416667,0.004504465228277078,0.46087694684254177,12288,5.681934308242587,False
35,0.48283380406836235,0.018771671936380876,,17,0.38678245270711026,0.00440168570907041,0.3866373697916667,0.0043930886666698815,0.26551445582534283,12288,25.721406473793902,True
37,0.44450081509432204,0.00959152708518321,,18,0.6932893020221786,0.004170835041615127,0.6925455729166666,0.004162688879424472,0.9348457763371325,12288,46.34307041482243,True
39,0.41858082723949525,0.00822172785564159,,19,0.29097358121330724,0.0041056785644896865,0.291015625,0.004097659661043418,0.0006306902176955529,12288,50.91154007880147,True
41,0.4214901109449124,0.010409699471880713,,20,0.6719259621656882,0.004246120018205259,0.6712239583333334,0.004237826815044702,0.9079003461795536,12288,40.490132504157884,True
43,0.35353118984356435,0.02369452805017402,,21,0.4331784083496412,0.0044785470793038224,0.4329427083333333,0.004469799917039557,0.31098812899668915,12288,14.920372716221621,True
45,0.348917956610479,0.050725335894983535,ideal_probability_too_close_to_half,22,0.46897423352902806,0.004510494217402235,0.4686686197916667,0.0045016846583838714,0.41108005224962346,12288,6.878573605364437,False
47,0.36708686500817567,0.01291310888413882,,23,0.6244699934768428,0.004378512912846182,0.6238606770833334,0.004369961129813279,0.8390750401109304,12288,28.427458352733996,True
49,0.3594375401280797,0.00876815589788667,,24,0.3262801696020874,0.004237739204815838,0.3262532552083333,0.004229462370431432,0.01668979724262977,12288,40.99351611833368,True
51,0.3260248179715181,0.009017800988678656,,25,0.6553734507501631,0.0042976079750825565,0.6547037760416666,0.0042892142095062235,0.9765693965167298,12288,36.153472268995955,True
