algorithm,query_cost_median,normalized_abs_error_median,normalized_abs_error_se,n_points
BAE,128.0,0.2241584212950004,0.01551277585423572,200
BAE,253.0,0.2241584212950004,0.01551277585423572,200
BAE,499.0,0.17868042595260453,0.015427039191121952,200
BAE,986.0,0.1086844329260826,0.01603283243999329,200
BAE,1947.0,0.03123053042237265,0.01220569015251102,200
BAE,3846.0,0.01507553104324735,0.009781741661661939,200
BAE,7595.0,0.009752417527043599,0.0022496690867130132,200
BAE,15000.0,0.0070646919365493,0.0033248951010335006,129
BIQAE,128.0,0.0932746189845248,0.00552168720135022,200
BIQAE,253.0,0.0932746189845248,0.00552168720135022,200
BIQAE,499.0,0.08430061722033985,0.005331191620901313,200
BIQAE,986.0,0.04834182475335965,0.00383489883897429,200
BIQAE,1947.0,0.04986018123537695,0.003478051882097649,200
BIQAE,3846.0,0.048769381895563055,0.003065717131088516,200
BIQAE,7595.0,0.04949958078846015,0.0030841738433461125,200
BIQAE,15000.0,0.0494317201345808,0.0034592715403294156,129
CABIQAE,128.0,0.0894928010645205,0.0058544349957608864,200
CABIQAE,253.0,0.0894928010645205,0.0058544349957608864,200
CABIQAE,499.0,0.06900904708199795,0.004981599887416823,200
CABIQAE,986.0,0.033866335078241855,0.00211364431512756,200
CABIQAE,1947.0,0.0177359252886393,0.0012381762190300646,200
CABIQAE,3846.0,0.01144851409369585,0.0007731138373289751,200
CABIQAE,7595.0,0.00754080835688245,0.0006176394909749582,200
CABIQAE,15000.0,0.0055466929698448,0.00048250127451463854,129
